1886年(丙戌),安徽歙县,黄宾虹,洪荩臣、洪四果,家庭/亲属,遵从父母安排，迎娶洪四果为妻,《九十雜述》《洪孺夫人行狀略述》,不详,,,,,,,
1886年(丙戌),安徽歙县紫阳书院,黄宾虹,谭献,学业/求学,在书院学习骈文、金石书画，得到山长谭献赏识,《九十雜述》,不详,,,,,,,
1886年(丙戌),安徽歙县,黄宾虹,无,收藏/鉴藏,收集汪訒庵遗留古印,《頻虹藏漢銅印記》,不详,,,,,,,
1886年(丙戌),安徽歙县,黄宾虹,无,家庭/亲属,大妹病逝,《洪孺夫人行狀略述》,不详,,,,,,,
1887年(丁亥),浙江金华,黄宾虹,黄定华、方氏、洪四果,家庭/亲属,护送妻子返回洪坑，父母迁居金华,黄警吾《黄賓虹在徽州》,不详,,,,,,,
1887年(丁亥),江苏扬州,黄宾虹,程桓,收藏/鉴藏,寄居姻亲程桓宅邸，低价收购元明书画近三百件,汪谱,不详,,,,,,,
1887年(丁亥),江苏扬州,黄宾虹,陈崇光,艺术/创作,欣赏陈崇光书画，心生仰慕，因其患病未能拜师,《論畫長札》《數奇之士》,不详,,,,,,,
1888年(戊子),新安江、扬州、金陵,黄宾虹,程石洲,游历/出行,与程石洲一同从新安江前往扬州、金陵，结交文人雅士,《散稿》,不详,,,,,,,
1888年(戊子),江苏扬州平山堂,黄宾虹,无,游历/出行,受邀在平山堂宴饮，游览当地名胜,《散稿》,不详,,,,,,,
1888年(戊子),江苏金陵,黄宾虹,甘元焕、杨长年、杨仁山,社交/交往,在金陵与诸位学人交往，研习儒学、佛学、舆地之学,《九十雜述》,不详,,,,,,,
时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置,,,,,,,
1888年(清德宗光绪十四年戊子),江苏金陵,黄宾虹,甘元焕、杨长年、杨仁山,社交/交往,在金陵期间结识甘元焕、杨长年、杨仁山等学人，交流儒学、佛学、舆地等学问,存考资料,不详,,,,,,,
1888年(清德宗光绪十四年戊子),浙江杭州,黄宾虹,金德鉴,社交/交往,年末途经杭州，拜访收藏家金德鉴，互相观赏、交换书画藏品,汪谱、王谱,不详,,,,,,,
1889年(清德宗光绪十五年己丑),浙江金华,黄宾虹,黄定华,家庭/亲属,金华商业彻底衰败，父亲决定放弃经营,《歙潭渡黄氏先德录》,不详,,,,,,,
1889年(清德宗光绪十五年己丑),浙江金华、安徽歙县潭渡村,黄宾虹,黄赓、黄赞、两位妹妹,家庭/亲属,举家迁回原籍歙县潭渡村；安排二妹、三妹前往郑、金两家做童养媳，留四弟黄赞在金华经商,黄警吾《黄賓虹在徽州》,不详,,,,,,,
1889年(清德宗光绪十五年己丑),浙江绍兴、温州,黄宾虹,无,游历/出行,游览绍兴兰亭、青藤书屋，又至温州江心屿，赋诗作画记录行程,王谱,不详,,,,,,,
1889年(清德宗光绪十五年己丑),安徽歙县,黄宾虹,汪仲伊、汪福熙、汪律本,学业/求学,师从汪仲伊研习学问，课余与汪福熙、汪律本一同研讨书画、习琴练剑,汪谱,不详,,,,,,,
1889年(清德宗光绪十五年己丑),安徽歙县,黄宾虹,汪律本,艺术/创作,己丑年五月，为汪律本梅竹画作题写帐眉诗词,帐眉照片,不详,,,,,,,
1889年(清德宗光绪十五年己丑),安徽歙县,黄宾虹,洪四果,家庭/亲属,长女黄映宝出生,汪谱,不详,,,,,,,
1890年(清德宗光绪十六年庚寅),安徽歙县,黄宾虹,汪仲伊,学业/求学,继续跟随汪仲伊修习学业,《民國歙縣志》,不详,,,,,,,
1890年(清德宗光绪十六年庚寅),安徽歙县,黄宾虹,黄定华,其他,父亲聘请技师，采用易水古法开设作坊制作徽墨，本人课余参与制墨各道工序,石谷风信函,不详,,,,,,,
1891年(清德宗光绪十七年辛卯),安徽歙县,黄宾虹,汪仲伊、汪孔祁,学业/求学,师从汪仲伊，同时为其孙汪孔祁教授《四子书》与绘画,王谱、汪谱,不详,,,,,,,
1891年(清德宗光绪十七年辛卯),安徽歙县,黄宾虹,汪福熙,社交/交往,致信汪福熙，因路途与家事滞留，托其代为向长辈说明情况,往来书信,不详,,,,,,,
1891年(清德宗光绪十七年辛卯),安徽安庆、皖公山,黄宾虹,郑珊,艺术/创作,游历安庆、皖公山，拜访老画家郑珊，习得“实处易，虚处难”六字画诀,《自叙》《歙潭渡黄氏先德录》,不详,,,,,,,
1892年(清德宗光绪十八年壬辰),江苏南京,黄宾虹,无,学业/求学,放弃科举，前往南京坐馆教书，生活处境窘迫,《自述》,不详,,,,,,,
1892年(清德宗光绪十八年壬辰),江苏南京,黄宾虹,无,艺术/创作,壬辰竹醉日，作画四帧并题诗抒发心绪,拍卖图录,不详,,,,,,,
1892年(清德宗光绪十八年壬辰),江苏南京,黄宾虹,汪福熙,社交/交往,初冬汪福熙到访南京，二人相聚，黄宾虹拿出旧作八帧相赠,拍卖图录,不详,,,,,,,
1892年(清德宗光绪十八年壬辰),江苏南京,黄宾虹,汪福熙,社交/交往,九月初三致信汪福熙，托其帮忙引荐安身之处,往来书信,不详,,,,,,,
1892年(清德宗光绪十八年壬辰),江苏扬州李官人巷,黄宾虹,无,家庭/亲属,冬月中旬迁居扬州李官人巷，辗转多地心生漂泊之感,往来书信,不详,,,,,,,
1893年(清德宗光绪十九年癸巳),江苏扬州,黄宾虹,无,学业/求学,在扬州持续坐馆授课，课余坚持书画创作,《周氏聽雨樓》,不详,,,,,,,
1893年(清德宗光绪十九年癸巳),江苏扬州,黄宾虹,理卿,艺术/创作,癸巳仲春，为理卿绘制山水扇面,安徽省博物馆藏品,不详,,,,,,,
1893年(清德宗光绪十九年癸巳),江苏扬州,黄宾虹,汪福熙,艺术/创作,癸巳仲秋，为汪福熙创作山水四屏,黄山市博物馆藏品,不详,,,,,,,
1894年(清德宗光绪二十年甲午),浙江杭州,黄宾虹,赵穆,艺术/创作,途经杭州，请篆刻名家赵穆刻制多方自用印章,印章边款,不详,,,,,,,
1894年(清德宗光绪二十年甲午),江苏扬州,黄宾虹,无,艺术/创作,甲午五月，临摹元人设色山水；又临摹梅壑老人画作,汪谱,不详,,,,,,,
1894年(清德宗光绪二十年甲午),安徽歙县葛塘寺前猫山,黄宾虹,黄定华,家庭/亲属,六月听闻父亲黄定华病逝，从扬州返乡治丧，将父亲安葬于葛塘寺前猫山,《歙潭渡黄氏先德录》,不详,,,,,,,
1894年(清德宗光绪二十年甲午),安徽歙县,黄宾虹,家人,家庭/亲属,丧事完毕后，三弟、四弟、妹妹各自奔赴外地营生,黄警吾《黄賓虹在徽州》,不详,,,,,,,
1894年(清德宗光绪二十年甲午),安徽歙县,黄宾虹,无,收藏/鉴藏,守孝期间搜集地方史料、家族旧事，不惜用名瓷交换古印、书画,《頻虹藏漢銅印記》,不详,,,,,,,
1895年(清德宗光绪二十一年乙未),安徽歙县,黄宾虹,康有为、梁启超,社交/交往,居家守孝，听闻《马关条约》签订，致信康有为、梁启超表达声援,汪谱、王伯敏《黄賓虹二三事》,不详,,,,,,,
1895年(清德宗光绪二十一年乙未),安徽贵池,黄宾虹,谭嗣同、萧辰,社交/交往,夏季前往贵池，与谭嗣同彻夜交谈，探讨变法、时局与妇女放足等议题,王伯敏《黄賓虹二三事》,不详,,,,,,,
1896年(清德宗光绪二十二年丙申),安徽歙县,黄宾虹,洪四果,家庭/亲属,仍居家守孝，次女黄映班出生,汪谱,不详,,,,,,,
1897年(清德宗光绪二十三年丁酉),安徽歙县,黄宾虹,汪仲伊,艺术/创作,春季受汪仲伊嘱托，绘制《韜廬圖》并题款,画作题跋,不详,,,,,,,
1897年(清德宗光绪二十三年丁酉),安徽安庆敬敷书院,黄宾虹,于荫霖、赵尔巽,学业/求学,秋季被郡守举荐，进入安庆敬敷书院求学,《自述》《安徽省志·教育志》,不详,,,,,,,
1897年(清德宗光绪二十三年丁酉),安徽安庆,黄宾虹,无,家庭/亲属,书院薪俸微薄、物价高涨，生活十分困顿,往来书信,不详,,,,,,,
1897年(清德宗光绪二十三年丁酉),安徽歙县,黄宾虹,许大受,学业/求学,返回歙县，受聘在许宅教授许大受经史,汪谱,不详,,,,,,,
1897年(清德宗光绪二十三年丁酉),安徽歙县怀德堂,黄宾虹,黄辅之,其他,夏季典居黄辅之旧宅怀德堂，寻访、整理义田账目,《叙村居》《仁德莊義田舊聞》,不详,,,,,,,
1897年(清德宗光绪二十三年丁酉),安徽歙县,黄宾虹,谭嗣同等志士,其他,戊戌变法失败，谭嗣同等六君子遇害，作诗悼念,王伯敏《黄賓虹二三事》,不详,,,,,,,
1897年(清德宗光绪二十三年丁酉),安徽歙县,黄宾虹,洪四果,家庭/亲属,长子黄映燡出生,汪谱,不详,,,,,,,
1898年(清德宗光绪二十四年戊戌),安徽齐云山、歙县,黄宾虹,无,游历/出行,腊月从安庆返乡，途经雪后齐云山，登山游览,往来书信,不详,,,,,,,
1898年(清德宗光绪二十四年戊戌),安徽歙县,黄宾虹,无,收藏/鉴藏,返乡后收获汪訒庵旧藏六枚汉铜私印,往来书信,不详,,,,,,,
1898年(清德宗光绪二十四年戊戌),安徽安庆,黄宾虹,无,学业/求学,二月赴安庆参加敬敷书院甄别考试,《申報》,不详,,,,,,,
1898年(清德宗光绪二十四年戊戌),安徽歙县,黄宾虹,无,艺术/创作,寒冬作画四屏赠予汪福熙,往来书信,不详,,,,,,,
1899年(清德宗光绪二十五年己亥),安徽歙县许宅,黄宾虹,无,学业/求学,全年在歙县许宅授课,汪谱,不详,,,,,,,
1899年(清德宗光绪二十五年己亥),安徽歙县,黄宾虹,辉庭,艺术/创作,夏日为辉庭绘制山水纨扇,藏品题款,不详,,,,,,,
1899年(清德宗光绪二十五年己亥),安徽歙县,黄宾虹,地方官员,艺术/创作,仲秋为当地官员绘制《黄白山黄山诗意图》,藏品题跋,不详,,,,,,,
1900年(清德宗光绪二十六年庚子),安徽黄山,黄宾虹,程守蕃等,游历/出行,三月结伴出游，登临黄山，游览多日，创作画稿、诗作、游记,《黄山前海紀游》,不详,,,,,,,
1900年(清德宗光绪二十六年庚子),安徽青阳九华山,黄宾虹,无,游历/出行,初夏游览青阳九华山，写生赋诗,《九華紀游》,不详,,,,,,,
1900年(清德宗光绪二十六年),安徽芜湖、歙县,黄宾虹,无,游历/出行,原计划北行，听闻义和团起事，行至芜湖折返歙县,《任耕感言》,不详,,,,,,,
1900年(清德宗光绪二十六年庚子),安徽黟县,黄宾虹,郑书、黄牧甫,其他,参与当地团练防守，在黟县结识黄牧甫，观赏其篆刻作品,《黟山人黄牧甫印譜叙》,不详,,,,,,,
1900年(清德宗光绪二十六年庚子),安徽歙县,黄宾虹,许崇贵、郑书,其他,受歙县知县委托，与郑书一同勘察、治理丰堨堰田,《民國歙縣志》《任耕感言》,不详,,,,,,,
1900年(清德宗光绪二十六年庚子),安徽歙县,黄宾虹,无,艺术/创作,全年坚持作画，使用多款落款、别号,画作题款,不详,,,,,,,
1901年(清德宗光绪二十七年辛丑),安徽歙县潭川,黄宾虹,郑书,其他,与郑书租住潭川，督工修缮堰田、疏通水道，当年农田丰收,《任耕感言》,不详,,,,,,,
1901年(清德宗光绪二十七年辛丑),安徽歙县,黄宾虹,无,收藏/鉴藏,秋季整理平生所藏古玺、印章，辑成《濱虹集印》并撰写序言,《濱虹集印序》,不详,,,,,,,
1901年(清德宗光绪二十七年辛丑),安徽歙县,黄宾虹,无,收藏/鉴藏,购入朱寄洲旧藏双钩《碣石颂》拓本,《斯篆雙鈎本》,不详,,,,,,,
1901年(清德宗光绪二十七年辛丑),安徽歙县,黄宾虹,洪四果,家庭/亲属,次子黄映灼出生,汪谱,不详,,,,,,,
1902年(清德宗光绪二十八年壬寅),安徽歙县,黄宾虹,郑书,其他,郑书赴金陵任职后，独自打理丰堨堰田，清查并恢复宗族义田,《民國歙縣志》《任耕感言》,不详,,,,,,,
1902年(清德宗光绪二十八年壬寅),安徽歙县岑山,黄宾虹,无,游历/出行,闲暇游览岑山，就地写生,王谱,不详,,,,,,,
1902年(清德宗光绪二十八年壬寅),江苏金陵、南通,黄宾虹,无,游历/出行,打理堰田之余，往返金陵、南通两地,王谱,不详,,,,,,,
1902年(清德宗光绪二十八年壬寅),安徽歙县,黄宾虹,无,艺术/创作,画室取名石芝阁，在此创作书画,王谱,不详,,,,,,,
1904年(清德宗光绪三十年甲辰),安徽芜湖,黄宾虹,李德膏,学业/求学,协助将旅湘公学迁至芜湖并更名安徽公学，参与校务、授课,《自叙》《安徽俗話報》,不详,,,,,,,
1904年(清德宗光绪三十年甲辰),安徽芜湖,黄宾虹,许承尧等,社交/交往,作为歙县代表，参与安徽铁路公司会议,《申報》,不详,,,,,,,
1904年(清德宗光绪三十年甲辰),安徽歙县,黄宾虹,许承尧,学业/求学,受聘在新安中学堂任教，后因人事矛盾辞职,《許疑庵先生年表》,不详,,,,,,,
1904年(清德宗光绪三十年甲辰),安徽歙县,黄宾虹,汪律本、陈去病等,社交/交往,参与组建革命团体黄社，宣传新思想,地方史料,不详,,,,,,,
1904年(清德宗光绪三十年甲辰),安徽歙县,黄宾虹,无,其他,推广古法治理农田虫害,地方史料,不详,,,,,,,
1904年(清德宗光绪三十年甲辰),安徽歙县,黄宾虹,洪四果,家庭/亲属,三子黄映（火+勇）出生,汪谱,不详,,,,,,,
1905年(清德宗光绪三十一年乙巳),安徽芜湖,黄宾虹,李德膏,学业/求学,在安徽公学任教，学堂扩建后协助安置校舍,《安徽俗話報》,不详,,,,,,,
1905年(清德宗光绪三十一年乙巳),安徽歙县,黄宾虹,许承尧、陈去病,社交/交往,在新安中学堂、徽州一带参与革命活动，联络进步志士,地方史料,不详,,,,,,,
1906年(清德宗光绪三十二年丙午),安徽芜湖、歙县,黄宾虹,陈去病、费公直等,社交/交往),春季在芜湖与陈去病等人相聚，随后一同前往歙县新安中学堂任教,《南社人物傳》,不详,,,,,,,
时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置,,,,,,,
1906年(清德宗光绪三十二年丙午),安徽歙县新安中学堂,黄宾虹,陈去病、费公直、许承尧,学业/求学,与陈去病、费公直一同在新安中学堂任教，教授国文、历史、地理等课程，同时参与学校校务管理,《南社人物傳》《歙縣教育志》,不详,,,,,,,
1906年(清德宗光绪三十二年丙午),安徽歙县,黄宾虹,许承尧、陈去病,社交/交往,与许承尧、陈去病等人在歙县组织读书会，宣传革命思想与新学,地方史料,不详,,,,,,,
1906年(清德宗光绪三十二年丙午),安徽歙县,黄宾虹,无,艺术/创作,在歙县期间持续创作山水画，多以黄山、新安江山水为题材,画作题款,不详,,,,,,,
1906年(清德宗光绪三十二年丙午),安徽芜湖,黄宾虹,李德膏,社交/交往,多次往返芜湖，参与安徽公学校务，与李德膏等人商议学校发展事宜,《安徽俗話報》,不详,,,,,,,
1907年(清德宗光绪三十三年丁未),安徽歙县,黄宾虹,无,其他,遭人诬告为革命党，被官府通缉，连夜逃离歙县,《自叙》《黄賓虹年譜》,不详,,,,,,,
